000;De credit card transactie is pending.
001;De credit card transactie is pending. De MPI-status van de klant wordt gecheckt.
070;De refund is nog niet verwerkt.
071;De refund is succesvol verwerkt.
072;Er is een fout opgetreden bij het refunden.
073;De refund is geannuleerd.
074;Refund geannuleerd. Onvoldoende saldo.
075;Refund mislukt. Ongeldige rekeningnummers.
076;De refund is door de bank teruggestort wegens incorrecte rekeninggegevens
090;Deze transactie is nog niet volledig verwerkt.
091;Deze transactie is met succes verwerkt.
100;De transactie is door de credit-maatschappij goedgekeurd.
101;De transactie is door de credit-maatschappij afgekeurd.
102;De transactie is mislukt. Er is een fout opgetreden in de verwerking bij de creditmaatschappij.
103;Deze creditcardtransactie is niet binnen de maximaal toegestane tijd uitgevoerd.
104;De kaart is verlopen.
105;Retrieval - Pending
106;Chargeback
120;Deze PayPal-transactie is nog niet volledig verwerkt.
121;Transactiestatus: authorisatie geslaagd
122;Deze PayPal-transactie is door de consument geannuleerd.
123;Deze PayPal-transactie is niet binnen de maximale, toegestane tijd uitgevoerd.
124;Deze PayPal-transactie is om onbekende reden bij PayPal mislukt.
125;Deze PayPal-transactie is niet geaccepteerd.
126;Deze PayPal-transactie is in afwachting.
135;Deze PayPal-transactie is nog niet volledig verwerkt.
136;Om technische reden kon de status van deze transactie nog niet bij PayPal worden achterhaald. De transactie is mogelijk nog niet afgerond.
137;De afschrijvingscode is ongeldig.
138;Er is een systeemfout opgetreden bij PayPal. Onze excuses voor het ongemak.
139;Het PayPal transactie-id is ongeldig of niet beschikbaar.
150;Deze Paysafecard-transactie is nog niet volledig verwerkt.
151;Transactiestatus: authorisatie geslaagd
152;Deze Paysafecard-transactie is door de consument geannuleerd.
153;Deze Paysafecard-transactie is niet binnen de maximale, toegestane tijd uitgevoerd.
155;Deze Paysafecard-transactie is niet geaccepteerd.
156;Deze Paysafecard-transactie is nog niet volledig verwerkt.
157;Om technische reden kon de status van deze transactie nog niet bij Paysafecard worden achterhaald. De transactie is mogelijk nog niet afgerond.
158;Er is een systeemfout opgetreden bij Paysafecard. Onze excuses voor het ongemak.
159;Het Paysafecard transactie-id is ongeldig of niet beschikbaar.
170;Deze Cash-Ticket transactie is nog niet volledig verwerkt.
171;Transactiestatus: authorisatie geslaagd
172;Deze Cash-Ticket transactie is door de consument geannuleerd.
173;Deze Cash-Ticket transactie is niet binnen de maximale, toegestane tijd uitgevoerd.
175;Deze Cash-Ticket transactie is niet geaccepteerd.
176;Deze Cash-Ticket transactie is nog niet volledig verwerkt.
177;Om technische reden kon de status van deze transactie nog niet bij Cash-Ticket worden achterhaald. De transactie is mogelijk nog niet afgerond.
178;Er is een systeemfout opgetreden bij Cash-Ticket. Onze excuses voor het ongemak.
179;Het Cash-Ticket transactie-id is ongeldig of niet beschikbaar.
190;Succes
201;Er is timeout opgetreden bij het verwerken van de transactie.Gebruik de TransactionKey om de verwerkingsstatus nogmaals te controleren.
203;De transactie is geweigerd. Het creditcardnummer is geblokkeerd.
204;De transactie is geweigerd. Het ip-adres is geblokkeerd
205;De transactie is geweigerd. Het land van uitgifte van deze creditcard is geblokkeerd
206;De transactie is geweigerd. De faktuur [waarde] wordt momenteel of is reeds betaald.
207;De transactie is geweigerd. Het maximaal aantal betaalpogingen voor faktuur [waarde] is overschreden.
242;Provisie BetaalGarant succesvol verwerkt
243;Provisie incassobureau BetaalGarant succesvol verwerkt
244;Provisie Buckaroo BetaalGarant succesvol verwerkt
245;Toetskosten incassobureau BetaalGarant succesvol verwerkt
246;Btw incassobureau BetaalGarant succesvol verwerkt
247;Btw buckaroo BetaalGarant succesvol verwerkt
251;BetaalGarant aanvraag geannuleerd
252;BetaalGarant aanvraag afgewezen
253;BetaalGarant aanvraag nog niet verwerkt
254;BetaalGarant aanvraag succesvol verwerkt
255;Creditnota succesvol verwerkt
260;Kredietwaardigheidcontrole abonnement niet actief
261;Technische fout opgetreden tijdens kredietwaardigheidcontrole
262;Verplichte velden voor kredietwaardigheidcontrole ontbreken of zijn onjuist
264;De betaalGarant uitbetaling is teruggedraaid.
300;Betaling voor deze overschrijving wordt nog verwacht.
301;De overschrijving is ontvangen.
302;De transactie is geweigerd of afgewezen.
303;De uiterste betaaldatum voor deze overschrijving is verstreken.
304;De datum voor ingebrekestelling is verstreken.
305;Het ontvangen bedrag voor de overschrijving is lager dan het bedrag van de transactie.
306;Het ontvangen bedrag voor de overschrijving is groter dan het bedrag van de transactie.
309;De overschrijving is geannuleerd.
345;Oorspronkelijk transactie-bedrag gedeeld; nieuwe transacties aangemaakt.
372;Bijschrijving op externe rekening.
390;De transactie is buiten Buckaroo om met de klant afgehandeld.
392;Anders betaald
400;De kadokaart-transactie is nog in behandeling
401;De betaling middels kado-kaart is geslaagd.
402;Betaling middels de kadokaart is afgewezen.
409;Betaling middels de kadokaart is geannuleerd.
410;De Merchant Account Code is ongeldig
411;De betaling middels kad-kaart is voorlopig geaccepteerd.
414;Er is een systeem-fout opgetreden.
421;Er is een onbekende Issuer voor de kado-kaart opgegeven.
422;Er is een fout opgetreden bij de Issuer. De betaling is mislukt. [waarde].
425;Niet genoeg saldo om deze transactie uit te voeren.
460;In behandeling
461;Transactie voltooid
462;Transactie voltooid
463;Transactie voltooid
464;Transactie voltooid
466;Afgewezen door incassobureau:
